,date,RMM1,RMM2,Amplitude,Phase,Phase_degrees,MJO_Phase
0,1/1/1999,-0.67299998,0.25400001,0.719336485,2.780706767,159.3227618,8
1,1/2/1999,-0.74800003,-0.046,0.749413134,-3.08017268,183.5191052,1
2,1/3/1999,-0.90700001,-0.133,0.916699524,-2.995993057,188.3422424,1
3,1/4/1999,-1.21899998,0.163,1.229849564,3.008664998,172.3838063,8
4,1/5/1999,-1.19099998,0.52200001,1.300371087,2.728521697,156.3327775,8
5,1/6/1999,-0.64600003,0.64700001,0.91428937,2.355421111,134.9556886,7
6,1/7/1999,-0.28299999,0.60900003,0.671543022,2.005804168,114.9241134,7
7,1/8/1999,-0.19400001,0.447,0.487283289,1.980269075,113.4610603,7
8,1/9/1999,-0.495,0.36000001,0.612066179,2.512796354,143.9726259,8
9,1/10/1999,-0.87599999,0.164,0.89121938,2.956520411,169.3961416,8
10,1/11/1999,-1.39999998,0.22499999,1.41796507,2.982241017,170.8698238,8
11,1/12/1999,-1.49899995,0.18099999,1.509888024,3.021427237,173.1150288,8
12,1/13/1999,-1.67299998,-0.118,1.677156204,-3.071177286,184.0345034,1
13,1/14/1999,-1.57500005,-0.491,1.649759424,-2.839394831,197.3146598,1
14,1/15/1999,-1.49100006,-0.611,1.611335526,-2.752673443,202.2834293,1
15,1/16/1999,-1.24300003,-1.14100003,1.687284843,-2.398953645,222.5500809,1
16,1/17/1999,-0.88800001,-1.18700004,1.482401131,-2.213083178,233.1996742,2
17,1/18/1999,-0.50199997,-1.41600001,1.50235149,-1.911491962,250.479578,2
18,1/19/1999,0.14300001,-1.47800004,1.484901721,-1.474344171,275.5263015,3
19,1/20/1999,0.61500001,-1.69700003,1.805002525,-1.223113978,289.9207312,3
20,1/21/1999,1.00699997,-1.49699998,1.804177896,-0.978643101,303.9278806,3
21,1/22/1999,1.30499995,-1.38199997,1.900775838,-0.814046826,313.3585526,3
22,1/23/1999,1.38499999,-1.16799998,1.811752998,-0.700603928,319.8583518,4
23,1/24/1999,1.16600001,-0.38299999,1.22729174,-0.317370258,341.8160237,4
24,1/25/1999,1.23599994,-0.015,1.236090956,-0.012135327,359.304697,4
25,1/26/1999,1.32799995,0.241,1.349690656,0.179522161,10.28586216,5
26,1/27/1999,1.50800002,0.65700001,1.644905187,0.410878783,23.54162018,5
27,1/28/1999,1.22000003,0.81,1.464411169,0.586108655,33.58155227,5
28,1/29/1999,1.12300003,1.01600003,1.51439266,0.735416452,42.13625888,5
29,1/30/1999,0.949,1.18499994,1.518165293,0.89554101,51.31072023,6
30,1/31/1999,0.54699999,1.04799998,1.182164518,1.08974601,62.43784711,6
31,2/1/1999,0.18799999,0.88999999,0.909639477,1.362620684,78.07241428,6
32,2/2/1999,-0.042,0.85699999,0.858028544,1.619765316,92.8057164,7
33,2/3/1999,0.026,0.727,0.727464776,1.535048151,87.95178041,6
34,2/4/1999,-0.086,0.579,0.585352031,1.718250222,98.44848587,7
35,2/5/1999,-0.248,0.64999998,0.695703941,1.935286999,110.8837772,7
36,2/6/1999,-0.126,0.59500003,0.608194899,1.779478079,101.9565837,7
37,2/7/1999,0.234,0.47,0.525029523,1.108852294,63.53255653,6
38,2/8/1999,0.34599999,0.442,0.561319867,0.906628182,51.94596842,6
39,2/9/1999,0.48300001,0.69700003,0.847996493,0.96480418,55.27920755,6
40,2/10/1999,0.33000001,0.37099999,0.496528951,0.843819454,48.34729336,6
41,2/11/1999,0.345,0.58899999,0.682602365,1.040929191,59.64084943,6
42,2/12/1999,0.15899999,1.02100003,1.033306372,1.416307562,81.14844579,6
43,2/13/1999,0.233,1.08200002,1.106803073,1.358693343,77.8473942,6
44,2/14/1999,0.02,1.347,1.34714847,1.555949608,89.14934566,6
45,2/15/1999,-0.67400002,1.48699999,1.632619061,1.996359303,114.3829625,7
46,2/16/1999,-1.25699997,1.54700005,1.993303308,2.253137189,129.0952516,7
47,2/17/1999,-1.86199999,1.51300001,2.39921091,2.459235657,140.903824,8
48,2/18/1999,-1.86500001,1.83299994,2.614978741,2.364847619,135.4957878,8
49,2/19/1999,-2.14400005,1.63199997,2.694468429,2.490965795,142.721827,8
50,2/20/1999,-1.88199997,1.36899996,2.327248327,2.512701599,143.9671968,8
51,2/21/1999,-1.72399998,0.889,1.939715683,2.66549468,152.7215955,8
