Month,WP,EP,NA,NI,SH,,wp_week1_lag0,,wp_week2_lag0,,wp_week3_lag0,,wp_week4_lag0,,wp_week5_lag0,,wp_week6_lag0,,wp_week7_lag0,,,wp_week8_lag0,,NI_week1_lag0,,NI_week2_lag0,,NI_week3_lag0,,NI_week4_lag0,,NI_week5_lag0,NI_week6_lag0,,NI_week7_lag0,NI_week8_lag0,,SH_week1_lag0,,SH_week2_lag0,,SH_week3_lag0,,SH_week4_lag0,,,SH_week5_lag0,,SH_week6_lag0,,SH_week7_lag0,SH_week8_lag0,,,EP_week1_lag0,EP_week2_lag0,EP_week3_lag0,EP_week4_lag0,,EP_week5_lag0,EP_week6_lag0,,EP_week7_lag0,,EP_week8_lag0,,NA_week1_lag0,,NA_week2_lag0,,NA_week3_lag0,,NA_week4_lag0,,NA_week5_lag0,,NA_week6_lag0,,NA_week7_lag0,,NA_week8_lag0,,DGPI_WP,DGPI_EP,DGPI_NA,DGPI_NI,DGPI_SH,,DGPI_WP1,DGPI_EP1,DGPI_NA1,DGPI_NI1,DGPI_SH1,,DGPI_WP2,DGPI_EP2,DGPI_NA2,DGPI_NI2,DGPI_SH2,,DGPI_WP3,DGPI_EP3,DGPI_NA3,DGPI_NI3,DGPI_SH3,,DGPI_WP4,DGPI_EP4,DGPI_NA4,DGPI_NI4,DGPI_SH4,,DGPI_WP5,DGPI_EP5,DGPI_NA5,DGPI_NI5,DGPI_SH5,,DGPI_WP6,DGPI_EP6,DGPI_NA6,DGPI_NI6,DGPI_SH6
1,0.421052632,0.05,0.05,0.15,4.75,,0.1625,,0.234375,,0.296875,,0.38125,,0.434375,,0.4,,0.409375,,,0.46875,,0.0625,,0.071875,,0.0375,,0.034375,,0.028125,0.04375,,0.028125,0.021875,,4.28125,,5.34375,,5.6125,,5.84375,,,5.63125,,5.821875,,5.765625,5.815625,,,0.0625,0.009375,0.015625,0.0125,,0.00625,0.009375,,0.0125,,0.01875,,0.00625,,0.03125,,0.053125,,0.096875,,0.13125,,0.096875,,0.115625,,0.13125,,407.55,89.86,5.28,105.15,5458.14,,344.03,40.28,7.11,145.39,5431.98,,423.29,33.02,5.54,134.89,5188.24,,457.31,22.22,3.83,84.4,5326.34,,462.5,14.74,2.82,67.14,5525.02,,415.58,12.39,3.25,63.78,5587.56,,418.64,8.49,3.04,59.97,5429.53
2,0.263157895,0,0,0,4.8,,0.13125,,0.234375,,0.24375,,0.184375,,0.18125,,0.25,,0.228125,,,0.2125,,0.0125,,0.040625,,0.009375,,0.01875,,0.00625,0.021875,,0.0125,0.0125,,4.578125,,4.975,,5.128125,,5.753125,,,6.021875,,5.903125,,6.003125,6.184375,,,0,0.015625,0.0375,0.021875,,0.015625,0.01875,,0.01875,,0.01875,,0.003125,,0.009375,,0.009375,,0.028125,,0.040625,,0.05,,0.046875,,0.065625,,322.43,37.58,4.06,57.21,6370.29,,265.25,14.79,6.68,77.44,6625.95,,299.04,12.44,8.53,100.87,5921.17,,315.54,7.6,6.53,79.46,5810.74,,342.21,3.7,5.37,64.1,6252.81,,326.41,2.17,4.24,62.3,6713.26,,323.15,2.32,3.48,50.92,6959.54
3,0.473684211,0,0,0,4.95,,0.353125,,0.359375,,0.428125,,0.484375,,0.534375,,0.546875,,0.51875,,,0.540625,,0.103125,,0.146875,,0.065625,,0.05625,,0.075,0.0625,,0.021875,0.028125,,4.696875,,5.36875,,6.046875,,6.0875,,,6.184375,,6.3375,,6.2875,6.446875,,,0,0.0125,0.034375,0.034375,,0.034375,0.028125,,0.021875,,0.01875,,0,,0.015625,,0.03125,,0.01875,,0.04375,,0.034375,,0.021875,,0.046875,,332.95,29.32,3.31,94.94,4714.49,,298.52,16.86,12.93,159.08,4622.95,,344.14,19.45,20.88,176.45,4244.81,,407.35,14.12,20.29,127.63,4479.91,,407.95,4.04,14.49,105.89,4736.08,,450.64,3.13,12.52,102.62,5025.33,,433.67,2.75,11.63,92.72,5279.15
4,0.578947368,0,0.1,0.2,2.65,,0.415625,,0.778125,,1.134375,,1.128125,,1.2125,,1.234375,,1.078125,,,1.240625,,0.321875,,0.471875,,0.446875,,0.340625,,0.35625,0.296875,,0.2375,0.221875,,1.903125,,2.55,,2.965625,,3.334375,,,3.259375,,3.315625,,3.5375,3.50625,,,0.00625,0.025,0.015625,0.040625,,0.009375,0.025,,0.021875,,0.034375,,0.0125,,0.065625,,0.05,,0.04375,,0.08125,,0.06875,,0.0375,,0.0375,,481.18,183.5,12.63,214.91,2428.34,,411.16,113.9,28.12,284.48,2292.37,,476.46,97.96,44.16,319.36,2046.79,,554.22,72.41,43.49,291.13,2180.32,,591.08,39.78,37.43,253.98,2362.62,,627.24,28.07,35.74,219.85,2505.84,,630,14.2,37.56,187.17,2585.19
5,1.263157895,0.8,0.35,0.85,0.4,,1.184375,,1.6125,,2.21875,,2.496875,,2.3625,,2.3125,,2.26875,,,2.2375,,0.65625,,1.021875,,0.9375,,0.828125,,0.8625,0.7375,,0.896875,0.85625,,0.284375,,0.68125,,0.828125,,0.890625,,,0.85,,0.99375,,1.209375,1.190625,,,0.39375,0.365625,0.396875,0.284375,,0.29375,0.221875,,0.171875,,0.175,,0.15625,,0.30625,,0.2375,,0.21875,,0.21875,,0.225,,0.2125,,0.175,,993.11,876.78,185.14,630.66,794.86,,901.2,855.41,144.93,690.66,643.41,,1129.68,602.4,147.01,651.42,580.68,,1255.09,581.79,136,654.34,695.68,,1476.25,451.81,135.65,591.36,730.95,,1432.79,414.3,140.37,590.72,747.6,,1282.89,294.07,136.72,557.43,783.87
6,1.894736842,1.6,0.8,0.4,0.25,,1.259375,,2.29375,,2.88125,,3.465625,,3.759375,,3.63125,,3.765625,,,3.846875,,0.3,,0.2875,,0.384375,,0.434375,,0.403125,0.39375,,0.428125,0.475,,0.040625,,0.090625,,0.19375,,0.18125,,,0.21875,,0.253125,,0.2375,0.278125,,,0.796875,0.334375,0.425,0.55,,0.7375,0.73125,,0.7125,,0.675,,0.625,,0.875,,0.4875,,0.440625,,0.5125,,0.515625,,0.565625,,0.440625,,1745.62,1360.33,1113.86,627.16,584.8,,1626.87,1594.79,712.98,651.13,384.63,,1952.42,915.23,736.89,618.61,327.68,,2291.59,980.23,530.6,625.41,379.58,,2632.06,1089.91,520.31,599.42,353.41,,2883.34,1228.58,561.11,541.39,319.34,,2780.89,1197.87,582.33,535.51,315.69
7,3.947368421,3.4,1.3,0.1,0.1,,3.5375,,4.259375,,5.03125,,5.521875,,5.284375,,5.025,,4.940625,,,5.03125,,0.071875,,0.246875,,0.246875,,0.21875,,0.19375,0.196875,,0.19375,0.2,,0.10625,,0.0625,,0.065625,,0.078125,,,0.078125,,0.0625,,0.075,0.09375,,,2.20625,1.321875,0.753125,0.775,,1.078125,1.471875,,1.434375,,1.33125,,0.525,,0.715625,,0.9625,,0.91875,,1.034375,,1.0625,,1.18125,,1.134375,,3514.15,2219.53,2100.42,315.69,499.16,,3607.6,2699.9,1342.2,440.76,328.2,,3707.24,1830.46,1303.2,486,214.53,,4107.31,1572.2,1215.21,535.05,216.11,,4634.41,1718.2,1225.58,517.81,193.25,,4852.87,1948.3,1244.05,500.05,192.58,,4597.78,2126.7,1246.12,468.05,198.78
8,5.315789474,4.35,3.8,0,0.1,,4.45,,5.49375,,5.5,,6.021875,,6.00625,,5.859375,,5.8875,,,5.778125,,0.040625,,0.271875,,0.271875,,0.3125,,0.30625,0.290625,,0.2125,0.225,,0.065625,,0.053125,,0.034375,,0.046875,,,0.028125,,0.065625,,0.059375,0.0625,,,2.75,1.946875,1.20625,1.034375,,1.246875,1.453125,,1.53125,,1.528125,,1.73125,,2.196875,,2.20625,,2.153125,,1.96875,,2.153125,,2.065625,,2.153125,,4678.96,2649.86,2926.92,411.11,333.84,,5082.49,3069.46,2099.74,390.2,213.45,,4937.97,2498.01,2085.6,385.91,159.01,,4975.36,2197.62,2014.38,414.15,198.21,,5253.8,2127.24,1985.22,494.86,181.88,,5344.87,2356.53,1970.44,507.53,164.12,,5307.91,2443.43,1951.23,446.87,166.9
9,4.947368421,3.05,4.8,0.3,0.25,,4.6875,,5,,5.178125,,5.546875,,6.03125,,5.9875,,5.740625,,,5.390625,,0.41875,,0.721875,,0.753125,,0.98125,,0.784375,0.6875,,0.64375,0.740625,,0.028125,,0.040625,,0.05,,0.059375,,,0.059375,,0.05,,0.05,0.071875,,,1.8875,1.43125,0.896875,0.75625,,0.9,1.290625,,1.828125,,2.0125,,2.575,,3.3625,,2.978125,,2.728125,,2.384375,,2.35625,,2.39375,,2.521875,,4175.95,2299.24,3136.07,457.36,448.05,,4330.27,2638.23,2361.41,534.09,25.46,,4410,2082.6,2339.86,486.02,240.47,,4344.18,1850.2,2207.84,561.08,318.01,,4655.96,1940.17,2175.41,827.45,251.44,,5009.79,2271.18,2056.92,796.85,257.67,,5306.23,2606.72,1960.54,652.07,257.77
10,3.105263158,2.25,2.35,1.2,0.55,,3.25625,,3.61875,,4.35625,,4.715625,,5.196875,,5.2625,,5.0375,,,4.79375,,1.24375,,1.546875,,1.390625,,1.3875,,1.178125,1.19375,,1.078125,1.340625,,0.1875,,0.203125,,0.28125,,0.375,,,0.39375,,0.35625,,0.365625,0.496875,,,0.878125,0.78125,0.840625,0.653125,,0.825,1.2125,,1.659375,,1.78125,,1.571875,,2.0625,,1.79375,,1.6,,1.6625,,1.678125,,1.678125,,1.85625,,2847.13,1848.88,1616.19,687.99,795.28,,2838.13,2006.68,1330.45,906.23,642.56,,2948.49,1567.89,1565.98,856.71,478.6,,3151.75,1525.89,1455.55,805.4,549.45,,3587.84,1483.1,1381.96,845.16,633.03,,4057.29,1791.3,1337,784.24,635.53,,4206.13,2176.98,1353.22,738.82,638.44
