lat,obss,Obs,week1,week2,week3,week4,week5,week6,week7,,week1_bias,week2_bias,week3_bias,week4_bias,week5_bias,week6_bias,week7_bias
-60,,,,,,,,,,,,,,,,,
-55,,,,,,,6.94835485,,,,,,,,,,
-50,,,,9.33093728,8.61582567,9.83708903,8.66826082,7.74013129,8.74319242,,,,,,,,
-45,,,4.26361568,9.14553876,8.37414765,8.14706278,7.97096957,8.26954656,7.33403867,,,,,,,,
-40,,,7.84432967,7.18854735,6.57649973,7.52853515,7.22757794,6.79150595,6.76095044,,,,,,,,
-35,9.55376012,9.55376012,5.59621864,6.06026655,6.51856999,6.12619664,6.23291999,5.62382445,5.71997253,,-3.95754148,-3.49349357,-3.03519013,-3.42756348,-3.32084013,-3.92993567,-3.83378759
-30,5.87576559,5.87576559,5.44420957,4.8076534,4.87152184,4.8717498,4.82479016,4.65983588,4.74653634,,-0.43155602,-1.06811219,-1.00424375,-1.00401579,-1.05097543,-1.21592971,-1.12922925
-25,4.02374527,4.02374527,4.05195647,3.6501116,3.90856072,3.89668632,3.6947783,3.42813939,3.45523277,,0.0282112,-0.37363367,-0.11518455,-0.12705895,-0.32896697,-0.59560588,-0.5685125
-20,2.82475295,2.82475295,3.31022772,3.14725394,2.96300408,3.1769797,3.1264549,2.89767411,3.0273862,,0.48547477,0.32250099,0.13825113,0.35222675,0.30170195,0.07292116,0.20263325
-15,2.22686712,2.22686712,3.32394752,2.90717892,3.14049895,2.76616094,2.93622711,3.0085144,2.82510576,,1.0970804,0.6803118,0.91363183,0.53929382,0.70935999,0.78164728,0.59823864
-10,1.9946491,1.9946491,2.89558401,3.39786216,3.63970983,3.08179847,2.60418946,3.2002184,2.85093125,,0.90093491,1.40321306,1.64506073,1.08714937,0.60954036,1.2055693,0.85628215
-5,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
0,0,0,0,3.41225197,2.34667882,0.85686823,0,2.76182586,0,,0,0,0,0,0,0,0
5,4.32790985,4.32790985,5.02707653,4.39358695,4.75478376,4.67119914,4.93864771,4.70122256,4.79007563,,0.69916668,0.0656771,0.42687391,0.34328929,0.61073786,0.37331271,0.46216578
10,4.62718137,4.62718137,5.60780763,5.66644116,5.79188008,5.57172471,5.82978524,5.56743141,5.4679437,,0.98062626,1.03925979,1.16469871,0.94454334,1.20260387,0.94025004,0.84076233
15,4.22342834,4.22342834,4.4531774,4.73593999,4.83200625,5.0495104,4.9109518,4.97751598,4.61137428,,0.22974906,0.51251165,0.60857791,0.82608206,0.68752346,0.75408764,0.38794594
20,3.9332373,3.9332373,4.44804296,4.44667005,4.30769893,4.24408825,4.25755729,4.56108834,4.27496353,,0.51480566,0.51343275,0.37446163,0.31085095,0.32431999,0.62785104,0.34172623
25,3.50697409,3.50697409,4.23719873,4.53805969,4.10305243,4.41477357,4.59295162,4.26957597,4.36388304,,0.73022464,1.0310856,0.59607834,0.90779948,1.08597753,0.76260188,0.85690895
30,4.84955047,4.84955047,4.52799651,4.26979278,4.33110404,4.52353034,4.43307839,4.57264548,4.71220924,,-0.32155396,-0.57975769,-0.51844643,-0.32602013,-0.41647208,-0.27690499,-0.13734123
35,8.5924281,8.5924281,6.29652151,6.20099163,6.29904431,6.08079168,6.22994346,5.46867527,5.94967178,,-2.29590659,-2.39143647,-2.29338379,-2.51163642,-2.36248464,-3.12375283,-2.64275632
40,11.12062329,11.12062329,8.18759328,8.53543555,8.72376085,7.39344239,7.32230696,7.15456866,7.63122831,,-2.93303001,-2.58518774,-2.39686244,-3.7271809,-3.79831633,-3.96605463,-3.48939498
45,12.83778099,12.83778099,8.50023381,8.77001981,9.01752577,8.77061014,9.12567754,8.36930853,8.90017102,,-4.33754718,-4.06776118,-3.82025522,-4.06717085,-3.71210345,-4.46847246,-3.93760997
50,13.18971272,13.18971272,,8.06217902,9.35079658,9.10115431,7.80779992,8.10573671,9.73551927,,,-5.1275337,-3.83891614,-4.08855841,-5.3819128,-5.08397601,-3.45419345
55,10.61841225,10.61841225,,7.15334141,0,10.59493834,9.04176891,7.33405532,9.62699078,,,-3.46507084,,-0.02347391,-1.57664334,-3.28435693,-0.99142147
