Month,WP,EP,NA,NI,SH,,wp_week1_lag0,,wp_week2_lag0,,wp_week3_lag0,,wp_week4_lag0,,wp_week5_lag0,,wp_week6_lag0,,wp_week7_lag0,,,wp_week8_lag0,,NI_week1_lag0,,NI_week2_lag0,,NI_week3_lag0,,NI_week4_lag0,,NI_week5_lag0,NI_week6_lag0,,NI_week7_lag0,NI_week8_lag0,,SH_week1_lag0,,SH_week2_lag0,,SH_week3_lag0,,SH_week4_lag0,,,SH_week5_lag0,,SH_week6_lag0,,SH_week7_lag0,SH_week8_lag0,,,EP_week1_lag0,EP_week2_lag0,EP_week3_lag0,EP_week4_lag0,,EP_week5_lag0,EP_week6_lag0,,EP_week7_lag0,,EP_week8_lag0,,NA_week1_lag0,,NA_week2_lag0,,NA_week3_lag0,,NA_week4_lag0,,NA_week5_lag0,,NA_week6_lag0,,NA_week7_lag0,,NA_week8_lag0
1,0.421052632,0.05,0.05,0.15,4.75,,0.1625,,0.234375,,0.296875,,0.38125,,0.434375,,0.4,,0.409375,,,0.46875,,0.0625,,0.071875,,0.0375,,0.034375,,0.028125,0.04375,,0.028125,0.021875,,4.28125,,5.34375,,5.6125,,5.84375,,,5.63125,,5.821875,,5.765625,5.815625,,,0.0625,0.009375,0.015625,0.0125,,0.00625,0.009375,,0.0125,,0.01875,,0.00625,,0.03125,,0.053125,,0.096875,,0.13125,,0.096875,,0.115625,,0.13125
2,0.263157895,0,0,0,4.8,,0.13125,,0.234375,,0.24375,,0.184375,,0.18125,,0.25,,0.228125,,,0.2125,,0.0125,,0.040625,,0.009375,,0.01875,,0.00625,0.021875,,0.0125,0.0125,,4.578125,,4.975,,5.128125,,5.753125,,,6.021875,,5.903125,,6.003125,6.184375,,,0,0.015625,0.0375,0.021875,,0.015625,0.01875,,0.01875,,0.01875,,0.003125,,0.009375,,0.009375,,0.028125,,0.040625,,0.05,,0.046875,,0.065625
3,0.473684211,0,0,0,4.95,,0.353125,,0.359375,,0.428125,,0.484375,,0.534375,,0.546875,,0.51875,,,0.540625,,0.103125,,0.146875,,0.065625,,0.05625,,0.075,0.0625,,0.021875,0.028125,,4.696875,,5.36875,,6.046875,,6.0875,,,6.184375,,6.3375,,6.2875,6.446875,,,0,0.0125,0.034375,0.034375,,0.034375,0.028125,,0.021875,,0.01875,,0,,0.015625,,0.03125,,0.01875,,0.04375,,0.034375,,0.021875,,0.046875
4,0.578947368,0,0.1,0.2,2.65,,0.415625,,0.778125,,1.134375,,1.128125,,1.2125,,1.234375,,1.078125,,,1.240625,,0.321875,,0.471875,,0.446875,,0.340625,,0.35625,0.296875,,0.2375,0.221875,,1.903125,,2.55,,2.965625,,3.334375,,,3.259375,,3.315625,,3.5375,3.50625,,,0.00625,0.025,0.015625,0.040625,,0.009375,0.025,,0.021875,,0.034375,,0.0125,,0.065625,,0.05,,0.04375,,0.08125,,0.06875,,0.0375,,0.0375
5,1.263157895,0.8,0.35,0.85,0.4,,1.184375,,1.6125,,2.21875,,2.496875,,2.3625,,2.3125,,2.26875,,,2.2375,,0.65625,,1.021875,,0.9375,,0.828125,,0.8625,0.7375,,0.896875,0.85625,,0.284375,,0.68125,,0.828125,,0.890625,,,0.85,,0.99375,,1.209375,1.190625,,,0.39375,0.365625,0.396875,0.284375,,0.29375,0.221875,,0.171875,,0.175,,0.15625,,0.30625,,0.2375,,0.21875,,0.21875,,0.225,,0.2125,,0.175
6,1.894736842,1.6,0.8,0.4,0.25,,1.259375,,2.29375,,2.88125,,3.465625,,3.759375,,3.63125,,3.765625,,,3.846875,,0.3,,0.2875,,0.384375,,0.434375,,0.403125,0.39375,,0.428125,0.475,,0.040625,,0.090625,,0.19375,,0.18125,,,0.21875,,0.253125,,0.2375,0.278125,,,0.796875,0.334375,0.425,0.55,,0.7375,0.73125,,0.7125,,0.675,,0.625,,0.875,,0.4875,,0.440625,,0.5125,,0.515625,,0.565625,,0.440625
7,3.947368421,3.4,1.3,0.1,0.1,,3.5375,,4.259375,,5.03125,,5.521875,,5.284375,,5.025,,4.940625,,,5.03125,,0.071875,,0.246875,,0.246875,,0.21875,,0.19375,0.196875,,0.19375,0.2,,0.10625,,0.0625,,0.065625,,0.078125,,,0.078125,,0.0625,,0.075,0.09375,,,2.20625,1.321875,0.753125,0.775,,1.078125,1.471875,,1.434375,,1.33125,,0.525,,0.715625,,0.9625,,0.91875,,1.034375,,1.0625,,1.18125,,1.134375
8,5.315789474,4.35,3.8,0,0.1,,4.45,,5.49375,,5.5,,6.021875,,6.00625,,5.859375,,5.8875,,,5.778125,,0.040625,,0.271875,,0.271875,,0.3125,,0.30625,0.290625,,0.2125,0.225,,0.065625,,0.053125,,0.034375,,0.046875,,,0.028125,,0.065625,,0.059375,0.0625,,,2.75,1.946875,1.20625,1.034375,,1.246875,1.453125,,1.53125,,1.528125,,1.73125,,2.196875,,2.20625,,2.153125,,1.96875,,2.153125,,2.065625,,2.153125
9,4.947368421,3.05,4.8,0.3,0.25,,4.6875,,5,,5.178125,,5.546875,,6.03125,,5.9875,,5.740625,,,5.390625,,0.41875,,0.721875,,0.753125,,0.98125,,0.784375,0.6875,,0.64375,0.740625,,0.028125,,0.040625,,0.05,,0.059375,,,0.059375,,0.05,,0.05,0.071875,,,1.8875,1.43125,0.896875,0.75625,,0.9,1.290625,,1.828125,,2.0125,,2.575,,3.3625,,2.978125,,2.728125,,2.384375,,2.35625,,2.39375,,2.521875
10,3.105263158,2.25,2.35,1.2,0.55,,3.25625,,3.61875,,4.35625,,4.715625,,5.196875,,5.2625,,5.0375,,,4.79375,,1.24375,,1.546875,,1.390625,,1.3875,,1.178125,1.19375,,1.078125,1.340625,,0.1875,,0.203125,,0.28125,,0.375,,,0.39375,,0.35625,,0.365625,0.496875,,,0.878125,0.78125,0.840625,0.653125,,0.825,1.2125,,1.659375,,1.78125,,1.571875,,2.0625,,1.79375,,1.6,,1.6625,,1.678125,,1.678125,,1.85625
