Longitude,IBTrACS_N,IBTrACS_S,week1_N,week1_S,week2_N,week2_S,week3_N,week3_S,week4_N,week4_S,week5_N,week5_S,week6_N,week6_S,week7_N,week7_S,week8_N,week8_S
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0.00625,0,0.00625,0,0.00625,0.003125,0.015625,0,0.015625,0.003125,0.028125,0,0.03125,0,0.025
35,0,0,0,0.2625,0,0.24375,0,0.290625,0,0.296875,0,0.215625,0.003125,0.3125,0,0.265625,0,0.253125
40,0,0.7,0,0.9875,0.00625,1.225,0.003125,0.9375,0.003125,1.153125,0,0.971875,0.003125,0.953125,0,0.965625,0,0.9625
45,0,0.3,0,0.496875,0,0.76875,0,0.7875,0,0.8625,0,0.8,0,0.746875,0,0.678125,0,0.709375
50,0,0.45,0,0.675,0.015625,1.015625,0.00625,1.05,0.003125,1.1,0.00625,1.034375,0.003125,1.04375,0.00625,1.028125,0.003125,1.00625
55,0.15,0.9,0.04375,1.0875,0.121875,1.403125,0.0625,1.428125,0.04375,1.371875,0.059375,1.625,0.05,1.5375,0.040625,1.378125,0.053125,1.3875
60,0,0.85,0.228125,1.065625,0.3,1.09375,0.228125,1.36875,0.2125,1.434375,0.234375,1.46875,0.221875,1.45625,0.196875,1.459375,0.175,1.503125
65,0.6,1.15,0.3375,0.7625,0.55,0.978125,0.440625,1.165625,0.434375,1.29375,0.434375,1.390625,0.40625,1.28125,0.403125,1.29375,0.425,1.471875
70,0.5,1,0.540625,0.821875,0.859375,0.975,0.590625,0.903125,0.515625,1.140625,0.546875,1.21875,0.496875,1.16875,0.465625,1.3125,0.596875,1.35625
75,0,0.65,0.203125,0.61875,0.33125,0.915625,0.2375,0.803125,0.1875,0.853125,0.203125,0.834375,0.159375,0.928125,0.228125,1.10625,0.23125,1.109375
80,0.35,0.95,0.215625,0.690625,0.178125,0.76875,0.103125,0.546875,0.15625,0.71875,0.159375,0.75625,0.14375,0.796875,0.1375,0.78125,0.16875,0.825
